epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2459.72,0.63581,1.11355,0.85421,0.92623,0.88574,0.91936,0.79174,0.78768,1.64211,0.91091,0.002278,0.002278,0.002278
80,2490.77,0.64805,1.111,0.84804,0.92811,0.87416,0.91603,0.7947,0.7633,1.62062,0.90401,0.002179,0.002179,0.002179
81,2521.92,0.63607,1.074,0.85427,0.9159,0.88381,0.91314,0.7892,0.76201,1.58452,0.90415,0.00208,0.00208,0.00208
82,2553.55,0.64244,1.08895,0.85683,0.92059,0.88574,0.91461,0.79067,0.75919,1.55967,0.90029,0.001981,0.001981,0.001981
83,2587.82,0.60768,1.05786,0.83974,0.93142,0.88574,0.92057,0.80173,0.75204,1.6381,0.89494,0.001882,0.001882,0.001882
84,2621.04,0.59577,1.03412,0.84077,0.92112,0.8954,0.92475,0.80526,0.75787,1.58494,0.89438,0.001783,0.001783,0.001783
85,2651.29,0.60779,1.04923,0.85466,0.92855,0.88574,0.92105,0.80184,0.75239,1.61091,0.89393,0.001684,0.001684,0.001684
86,2680.32,0.60535,1.05446,0.84241,0.94002,0.86644,0.91597,0.80218,0.75925,1.61553,0.89706,0.001585,0.001585,0.001585
87,2708.92,0.60324,1.03906,0.84575,0.93424,0.87995,0.91708,0.79975,0.74936,1.64198,0.89477,0.001486,0.001486,0.001486
88,2737.5,0.59552,1.03246,0.84443,0.93068,0.89346,0.91904,0.79765,0.74998,1.64433,0.89674,0.001387,0.001387,0.001387
89,2766.96,0.59047,1.02799,0.84284,0.93951,0.88381,0.91829,0.7946,0.74463,1.62316,0.89625,0.001288,0.001288,0.001288
90,2794.89,0.59766,1.04562,0.83906,0.94187,0.88381,0.92159,0.80298,0.7408,1.59603,0.89525,0.001189,0.001189,0.001189
91,2823.25,0.57675,0.96797,0.82657,0.9282,0.88767,0.91754,0.79902,0.74737,1.63484,0.89153,0.00109,0.00109,0.00109
92,2852.06,0.57299,0.96322,0.82455,0.93812,0.87802,0.91619,0.79739,0.7499,1.66097,0.90563,0.000991,0.000991,0.000991
93,2883.07,0.57013,0.96714,0.82427,0.91851,0.90119,0.92117,0.80147,0.7391,1.66256,0.89882,0.000892,0.000892,0.000892
94,2912.3,0.5445,0.91907,0.82276,0.92555,0.89926,0.92289,0.80128,0.74075,1.64145,0.90129,0.000793,0.000793,0.000793
95,2941.15,0.5449,0.91444,0.81992,0.92893,0.90119,0.92422,0.80131,0.73387,1.63641,0.90478,0.000694,0.000694,0.000694
96,2970.34,0.53839,0.90307,0.8121,0.9333,0.89346,0.92406,0.80683,0.72691,1.62948,0.90014,0.000595,0.000595,0.000595
97,2999.31,0.53693,0.89715,0.8184,0.92796,0.8954,0.9225,0.80629,0.72289,1.63098,0.8947,0.000496,0.000496,0.000496
98,3027.42,0.52616,0.87658,0.81835,0.93044,0.8954,0.92068,0.80416,0.72204,1.60417,0.89407,0.000397,0.000397,0.000397
99,3056.25,0.51024,0.86047,0.81461,0.92859,0.89733,0.9211,0.80461,0.72078,1.61163,0.89712,0.000298,0.000298,0.000298
100,3083.14,0.51002,0.86309,0.81299,0.92912,0.89733,0.92053,0.80529,0.71962,1.61348,0.89504,0.000199,0.000199,0.000199
